Name,AIModuleMovementType,Acceleration,MinimumSpeed,MaximumSpeed,ReachDestinationAtFullLinearSpeed,AccelerationAngular,MaximumSpeedAngular,ReachDestinationAtFullAngularSpeed,Fitness
Argos-mutated,6,33.0,0.0,1000.0,0.0,0.9,0.5,0.9,0.9
Orion-mutated,6,26.7,0.0,890.0,0.0,2.67,3.33,0.0,0.89
Teuthus-mutated,6,330.0,27.0,1000.0,0.0,1.1,11.0,0.0,0.9
Vermis-mutated,4,300.0,50.0,100.0,0.0,5.0,5.0,0.0,0.87
Argos-mutated,6,25.8,0.0,860.0,0.0,1.1400000000000001,0.43,1.1400000000000001,0.86
Orion-mutated,6,33.9,0.0,1130.0,0.0,3.0,3.0,0.0,0.87
Teuthus-mutated,6,261.0,26.1,870.0,0.0,0.87,10.0,0.0,0.87
Vermis-mutated,4,300.0,57.0,100.0,0.0,5.0,5.0,0.0,0.86
Argos-mutated,6,26.7,0.0,1000.0,0.0,1.0,0.5,1.11,0.89
Orion-mutated,6,26.7,0.0,1000.0,0.0,3.33,3.0,0.0,0.89
Teuthus-mutated,6,300.0,33.3,890.0,0.0,0.89,10.0,0.0,0.89
Vermis-mutated,4,333.0,55.5,111.0,0.0,5.0,5.55,0.0,0.89
Argos-mutated,6,30.0,0.0,1000.0,0.0,0.9,0.55,1.1,0.9
Orion-mutated,6,34.2,0.0,860.0,0.0,3.42,3.42,0.0,0.86
Teuthus-mutated,6,270.0,27.0,900.0,0.0,1.0,11.0,0.0,0.9
Vermis-mutated,4,270.0,50.0,100.0,0.0,4.5,5.0,0.0,0.9
Argos-mutated,6,25.5,0.0,850.0,0.0,0.85,0.575,1.15,0.85
Orion-mutated,6,33.6,0.0,880.0,0.0,2.64,3.36,0.0,0.88
Teuthus-mutated,6,261.0,26.1,1000.0,0.0,1.13,11.3,0.0,0.87
Vermis-mutated,4,300.0,50.0,100.0,0.0,4.4,5.6,0.0,0.88
Argos-mutated,6,30.0,0.0,1150.0,0.0,0.85,0.575,0.85,0.85
Orion-mutated,6,30.0,0.0,870.0,0.0,3.0,3.0,0.0,0.87
Teuthus-mutated,6,300.0,30.0,1000.0,0.0,1.12,8.8,0.0,0.88
Vermis-mutated,4,345.0,50.0,100.0,0.0,5.75,5.75,0.0,0.85
Argos-mutated,6,30.0,0.0,1100.0,0.0,1.0,0.5,0.9,0.9
Orion-mutated,6,34.5,0.0,1000.0,0.0,2.55,2.55,0.0,0.85
Teuthus-mutated,6,330.0,27.0,1000.0,0.0,1.0,10.0,0.0,0.9
Vermis-mutated,4,255.0,42.5,115.0,0.0,5.0,5.75,0.0,0.85
Argos-mutated,6,25.5,0.0,850.0,0.0,0.85,0.425,1.15,0.85
Orion-mutated,6,30.0,0.0,1000.0,0.0,3.0,2.7,0.0,0.9
Teuthus-mutated,6,258.0,25.8,860.0,0.0,0.86,10.0,0.0,0.86
Vermis-mutated,4,300.0,57.0,114.0,0.0,5.7,5.0,0.0,0.86
Argos-mutated,6,30.0,0.0,880.0,0.0,1.12,0.5,0.88,0.88
Orion-mutated,6,30.0,0.0,1000.0,0.0,3.0,3.36,0.0,0.88
Teuthus-mutated,6,342.0,34.2,1140.0,0.0,1.1400000000000001,8.6,0.0,0.86
Vermis-mutated,4,300.0,57.0,100.0,0.0,5.0,4.3,0.0,0.86
Argos-mutated,6,33.0,0.0,1000.0,0.0,1.0,0.5,1.0,0.9
Orion-mutated,6,30.0,0.0,900.0,0.0,3.3,3.3,0.0,0.9
Teuthus-mutated,6,300.0,26.4,880.0,0.0,0.88,10.0,0.0,0.88
Vermis-mutated,4,255.0,42.5,100.0,0.0,4.25,4.25,0.0,0.85
Argos-mutated,6,34.5,0.0,1150.0,0.0,0.85,0.425,1.15,0.85
Orion-mutated,6,33.0,0.0,1000.0,0.0,2.7,2.7,0.0,0.9
Teuthus-mutated,6,300.0,30.0,1000.0,0.0,0.87,8.7,0.0,0.87
Vermis-mutated,4,270.0,50.0,110.0,0.0,4.5,4.5,0.0,0.9
Argos-mutated,6,30.0,0.0,1120.0,0.0,1.0,0.5,1.0,0.88
Orion-mutated,6,34.5,0.0,1150.0,0.0,2.55,2.55,0.0,0.85
Teuthus-mutated,6,270.0,27.0,1000.0,0.0,0.9,10.0,0.0,0.9
Vermis-mutated,4,339.0,50.0,100.0,0.0,4.35,5.0,0.0,0.87
Argos-mutated,6,30.0,0.0,1110.0,0.0,1.11,0.445,1.0,0.89
Orion-mutated,6,30.0,0.0,900.0,0.0,3.3,3.3,0.0,0.9
Teuthus-mutated,6,342.0,30.0,1140.0,0.0,0.86,10.0,0.0,0.86
Vermis-mutated,4,300.0,56.5,100.0,0.0,5.65,5.65,0.0,0.87
Argos-mutated,6,33.0,0.0,1100.0,0.0,0.9,0.5,0.9,0.9
Orion-mutated,6,33.9,0.0,1000.0,0.0,3.39,3.0,0.0,0.87
Teuthus-mutated,6,300.0,26.7,890.0,0.0,0.89,10.0,0.0,0.89
Vermis-mutated,4,258.0,57.0,100.0,0.0,5.0,5.0,0.0,0.86
Argos-mutated,6,26.1,0.0,1000.0,0.0,1.0,0.565,1.13,0.87
Orion-mutated,6,25.8,0.0,1000.0,0.0,3.0,2.58,0.0,0.86
Teuthus-mutated,6,258.0,25.8,1000.0,0.0,0.86,11.4,0.0,0.86
Vermis-mutated,4,267.0,55.5,89.0,0.0,5.0,4.45,0.0,0.89
Argos-mutated,6,30.0,0.0,850.0,0.0,0.85,0.425,0.85,0.85
Orion-mutated,6,25.5,0.0,1150.0,0.0,2.55,3.0,0.0,0.85
Teuthus-mutated,6,300.0,33.9,1000.0,0.0,1.0,11.3,0.0,0.87
Vermis-mutated,4,336.0,50.0,88.0,0.0,5.0,5.0,0.0,0.88
Argos-mutated,6,30.0,0.0,1100.0,0.0,0.9,0.5,1.0,0.9
Orion-mutated,6,26.4,0.0,880.0,0.0,3.0,2.64,0.0,0.88
Teuthus-mutated,6,300.0,26.7,890.0,0.0,1.0,10.0,0.0,0.89
Vermis-mutated,4,300.0,50.0,100.0,0.0,5.6,5.6,0.0,0.88
Argos-mutated,6,30.0,0.0,850.0,0.0,1.15,0.425,0.85,0.85
Orion-mutated,6,30.0,0.0,900.0,0.0,3.0,3.0,0.0,0.9
Teuthus-mutated,6,333.0,26.7,1000.0,0.0,0.89,11.1,0.0,0.89
Vermis-mutated,4,258.0,43.0,100.0,0.0,5.0,5.0,0.0,0.86
Argos-mutated,6,33.9,0.0,1000.0,0.0,1.0,0.5,1.0,0.87
Orion-mutated,6,25.5,0.0,1150.0,0.0,2.55,2.55,0.0,0.85
Teuthus-mutated,6,330.0,27.0,1100.0,0.0,1.0,9.0,0.0,0.9
Vermis-mutated,4,339.0,43.5,87.0,0.0,5.65,5.0,0.0,0.87
Argos-mutated,6,30.0,0.0,1110.0,0.0,0.89,0.555,1.0,0.89
Orion-mutated,6,25.8,0.0,860.0,0.0,3.42,3.0,0.0,0.86
Teuthus-mutated,6,267.0,33.3,1110.0,0.0,0.89,10.0,0.0,0.89
Vermis-mutated,4,345.0,57.5,85.0,0.0,5.75,4.25,0.0,0.85
Argos-mutated,6,26.4,0.0,1000.0,0.0,0.88,0.56,1.12,0.88
Orion-mutated,6,30.0,0.0,870.0,0.0,3.0,3.0,0.0,0.87
Teuthus-mutated,6,270.0,27.0,1000.0,0.0,1.1,9.0,0.0,0.9
Vermis-mutated,4,267.0,55.5,100.0,0.0,5.0,4.45,0.0,0.89
Argos-mutated,6,34.5,0.0,850.0,0.0,1.15,0.5,1.0,0.85
Orion-mutated,6,34.2,0.0,860.0,0.0,3.42,2.58,0.0,0.86
Teuthus-mutated,6,336.0,33.6,1120.0,0.0,0.88,10.0,0.0,0.88
Vermis-mutated,4,342.0,50.0,114.0,0.0,4.3,5.0,0.0,0.86
Argos-mutated,6,33.0,0.0,1000.0,0.0,0.9,0.55,0.9,0.9
Orion-mutated,6,26.4,0.0,1000.0,0.0,3.0,3.0,0.0,0.88
Teuthus-mutated,6,300.0,33.0,1000.0,0.0,1.1,9.0,0.0,0.9
Vermis-mutated,4,330.0,45.0,110.0,0.0,5.5,5.0,0.0,0.9
Argos-mutated,6,30.0,0.0,880.0,0.0,1.0,0.44,1.12,0.88
Orion-mutated,6,26.4,0.0,1000.0,0.0,2.64,2.64,0.0,0.88
Teuthus-mutated,6,300.0,30.0,1000.0,0.0,1.0,8.9,0.0,0.89
Vermis-mutated,4,300.0,45.0,100.0,0.0,5.5,5.5,0.0,0.9
Argos-mutated,6,30.0,0.0,880.0,0.0,1.12,0.44,1.12,0.88
Orion-mutated,6,30.0,0.0,1140.0,0.0,3.42,3.42,0.0,0.86
Teuthus-mutated,6,300.0,34.5,1000.0,0.0,1.15,8.5,0.0,0.85
Vermis-mutated,4,264.0,44.0,100.0,0.0,5.6,5.6,0.0,0.88
Argos-mutated,6,34.2,0.0,1000.0,0.0,0.86,0.5700000000000001,1.1400000000000001,0.86
Orion-mutated,6,25.8,0.0,860.0,0.0,3.42,3.42,0.0,0.86
Teuthus-mutated,6,300.0,30.0,1100.0,0.0,0.9,11.0,0.0,0.9
Vermis-mutated,4,342.0,50.0,114.0,0.0,5.0,5.7,0.0,0.86
Argos-mutated,6,26.4,0.0,880.0,0.0,1.0,0.56,0.88,0.88
Orion-mutated,6,33.0,0.0,900.0,0.0,2.7,3.0,0.0,0.9
Teuthus-mutated,6,261.0,26.1,1130.0,0.0,1.0,8.7,0.0,0.87
Vermis-mutated,4,330.0,45.0,100.0,0.0,5.0,4.5,0.0,0.9
Argos-mutated,6,34.5,0.0,1150.0,0.0,1.15,0.425,0.85,0.85
Orion-mutated,6,34.5,0.0,850.0,0.0,2.55,3.0,0.0,0.85
Teuthus-mutated,6,255.0,25.5,850.0,0.0,1.0,8.5,0.0,0.85
Vermis-mutated,4,270.0,55.0,90.0,0.0,5.5,5.5,0.0,0.9
Argos-mutated,6,33.0,0.0,1100.0,0.0,0.9,0.45,0.9,0.9
Orion-mutated,6,33.9,0.0,1130.0,0.0,2.61,2.61,0.0,0.87
Teuthus-mutated,6,339.0,30.0,870.0,0.0,0.87,11.3,0.0,0.87
Vermis-mutated,4,258.0,50.0,86.0,0.0,5.0,5.0,0.0,0.86
Argos-mutated,6,25.8,0.0,1000.0,0.0,1.0,0.5,1.1400000000000001,0.86
Orion-mutated,6,34.2,0.0,1000.0,0.0,3.42,2.58,0.0,0.86
Teuthus-mutated,6,333.0,33.3,890.0,0.0,1.0,8.9,0.0,0.89
Vermis-mutated,4,339.0,56.5,113.0,0.0,5.65,4.35,0.0,0.87
Argos-mutated,6,30.0,0.0,900.0,0.0,1.1,0.45,1.0,0.9
Orion-mutated,6,33.6,0.0,1000.0,0.0,3.36,3.36,0.0,0.88
Teuthus-mutated,6,300.0,33.3,890.0,0.0,1.11,10.0,0.0,0.89
Vermis-mutated,4,342.0,57.0,100.0,0.0,5.0,4.3,0.0,0.86
Argos-mutated,6,25.8,0.0,1000.0,0.0,0.86,0.43,1.1400000000000001,0.86
Orion-mutated,6,33.9,0.0,870.0,0.0,3.39,2.61,0.0,0.87
Teuthus-mutated,6,333.0,30.0,1000.0,0.0,0.89,11.1,0.0,0.89
Vermis-mutated,4,300.0,44.0,100.0,0.0,4.4,5.0,0.0,0.88
Argos-mutated,6,30.0,0.0,860.0,0.0,1.0,0.5700000000000001,0.86,0.86
Orion-mutated,6,34.5,0.0,850.0,0.0,3.0,3.0,0.0,0.85
Teuthus-mutated,6,339.0,33.9,1000.0,0.0,1.0,11.3,0.0,0.87
Vermis-mutated,4,261.0,56.5,100.0,0.0,5.0,5.65,0.0,0.87
Argos-mutated,6,26.7,0.0,1000.0,0.0,0.89,0.5,1.0,0.89
Orion-mutated,6,26.4,0.0,880.0,0.0,3.36,2.64,0.0,0.88
Teuthus-mutated,6,333.0,30.0,890.0,0.0,1.11,10.0,0.0,0.89
Vermis-mutated,4,339.0,56.5,87.0,0.0,4.35,5.65,0.0,0.87
Argos-mutated,6,30.0,0.0,850.0,0.0,1.0,0.575,1.15,0.85
Orion-mutated,6,33.9,0.0,870.0,0.0,3.39,2.61,0.0,0.87
Teuthus-mutated,6,300.0,30.0,1000.0,0.0,1.0,10.0,0.0,0.85
Vermis-mutated,4,330.0,55.0,110.0,0.0,5.0,5.5,0.0,0.9
Argos-mutated,6,26.7,0.0,1110.0,0.0,1.0,0.555,1.11,0.89
Orion-mutated,6,33.0,0.0,1000.0,0.0,2.7,3.0,0.0,0.9
Teuthus-mutated,6,300.0,30.0,1120.0,0.0,0.88,8.8,0.0,0.88
Vermis-mutated,4,300.0,50.0,100.0,0.0,4.25,4.25,0.0,0.85
Argos-mutated,6,34.2,0.0,1140.0,0.0,1.0,0.5700000000000001,1.1400000000000001,0.86
Orion-mutated,6,27.0,0.0,1000.0,0.0,2.7,2.7,0.0,0.9
Teuthus-mutated,6,267.0,33.3,890.0,0.0,0.89,11.1,0.0,0.89
Vermis-mutated,4,300.0,45.0,90.0,0.0,4.5,5.0,0.0,0.9
Argos-mutated,6,25.8,0.0,1000.0,0.0,1.1400000000000001,0.43,1.1400000000000001,0.86
Orion-mutated,6,25.8,0.0,860.0,0.0,3.0,3.0,0.0,0.86
Teuthus-mutated,6,270.0,30.0,900.0,0.0,0.9,10.0,0.0,0.9
Vermis-mutated,4,300.0,55.5,100.0,0.0,5.55,5.55,0.0,0.89
Argos-mutated,6,30.0,0.0,880.0,0.0,1.0,0.44,1.0,0.88
Orion-mutated,6,27.0,0.0,1100.0,0.0,3.3,3.0,0.0,0.9
Teuthus-mutated,6,255.0,25.5,850.0,0.0,1.0,8.5,0.0,0.85
Vermis-mutated,4,258.0,57.0,114.0,0.0,4.3,4.3,0.0,0.86
Argos-mutated,6,26.4,0.0,1000.0,0.0,1.0,0.5,1.12,0.88
Orion-mutated,6,33.3,0.0,1000.0,0.0,3.33,3.0,0.0,0.89
Teuthus-mutated,6,270.0,30.0,1100.0,0.0,1.0,11.0,0.0,0.9
Vermis-mutated,4,339.0,50.0,100.0,0.0,5.0,5.0,0.0,0.87
Argos-mutated,6,34.2,0.0,860.0,0.0,1.0,0.5,1.0,0.86
Orion-mutated,6,33.6,0.0,1000.0,0.0,2.64,2.64,0.0,0.88
Teuthus-mutated,6,300.0,30.0,880.0,0.0,0.88,8.8,0.0,0.88
Vermis-mutated,4,255.0,50.0,100.0,0.0,4.25,5.0,0.0,0.85
Argos-mutated,6,25.8,0.0,860.0,0.0,0.86,0.43,1.0,0.86
Orion-mutated,6,26.1,0.0,1000.0,0.0,2.61,3.0,0.0,0.87
Teuthus-mutated,6,336.0,33.6,1000.0,0.0,1.12,11.2,0.0,0.88
Vermis-mutated,4,345.0,42.5,100.0,0.0,4.25,5.75,0.0,0.85
