Name,UnitValue,AIFormationType,AIFormationSeparationMultiplier,AIGroupBehaviourType,AIGroupBehaviourDistance,AIGroupAttackBehaviourType,AIGroupAttackSpeed,AIBehaviourType,AIBehaviourDistance,AIAttackBehaviourType,AIAttackSpeed,Fitness
DroneAlphaLaser-mutated,250,1,5,4,250,0,100,4,250.0,0,90.0,0.9
DroneAlphaSpike-mutated,250,1,5,4,250,0,100,4,250.0,0,111.0,0.89
DroneBeta-mutated,250,1,15,4,300,0,100,4,255.0,0,100.0,0.85
Frosty-mutated,10,9,1,4,150,3,100,4,30.0,0,27.0,0.9
Ichthyos-mutated,0,6,1,4,150,3,150,4,56.0,0,30.0,0.88
Jack-mutated,10,9,1,4,150,3,100,4,30.0,0,25.5,0.85
Kroma-mutated,10,5,1,7,50,0,100,7,50.0,0,89.0,0.89
KromaChild-mutated,5,5,1,7,50,0,100,7,50.0,0,112.0,0.88
KromaElite-mutated,20,5,1,4,200,0,100,4,220.0,0,110.0,0.9
Larva-mutated,1,5,1,7,50,0,100,7,50.0,0,88.0,0.88
MCCreeper-mutated,20,0,1,4,100,0,100,4,87.0,0,113.0,0.87
MCSkeleton-mutated,20,0,1,4,100,0,100,4,88.0,0,112.0,0.88
Maia-mutated,-1,2,5,-1,0,-1,0,4,336.0,0,100.0,0.88
Marble-mutated,250,1,1.5,5,1000,0,200,5,890.0,0,200.0,0.89
Mars-mutated,1,5,1,7,50,0,100,7,56.0,0,100.0,0.88
Orion-mutated,-1,-1,0,-1,0,-1,0,4,255.0,0,100.0,0.85
Orion-mutated,-1,-1,0,-1,0,-1,0,4,170.0,0,100.0,0.85
Orion-mutated,-1,-1,0,-1,0,-1,0,9,111000.0,0,1000.0,0.89
Orion-mutated,-1,-1,0,-1,0,-1,0,9,114000.0,0,1000.0,0.86
Orion-mutated,-1,-1,0,-1,0,-1,0,9,100000.0,0,860.0,0.86
Soul-mutated,-1,-1,0,-1,0,-1,0,1,0.0,0,90.0,0.9
Teuthus-mutated,-1,2,5,-1,0,-1,0,4,154.0,0,88.0,0.88
TrailerAlpha-mutated,250,1,5,4,100,0,100,4,87.0,0,113.0,0.87
TrailerBeta-mutated,500,1,5,4,200,0,100,4,178.0,0,100.0,0.89
Vermis-mutated,-1,-1,0,-1,0,-1,0,1,0.0,200,214.7,0.87
Vermis-mutated,-1,-1,0,-1,0,-1,0,1,0.0,200,218.5,0.85
Vermis-mutated,-1,-1,0,-1,0,-1,0,4,174.0,0,214.7,0.87
VermisChild-mutated,-1,-1,0,-1,0,-1,0,8,35.0,0,190.0,0.86
WingAlpha-mutated,2000,1,5,7,100,0,100,7,100.0,0,100.0,0.89
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,113.0,0.87
Argos-mutated,-1,2,5,-1,0,-1,0,4,100.0,0,42.5,0.85
Argos-mutated,-1,2,5,-1,0,-1,0,4,170.0,0,100.0,0.85
BossNightmare-mutated,-1,-1,0,-1,0,-1,0,4,300.0,0,87.0,0.87
CubicKeeper-mutated,10,1,1,5,100,0,100,5,85.0,0,85.0,0.85
DaimonAlpha-mutated,5,9,1,-1,0,-1,0,3,33.9,0,261.0,0.87
DaimonBeta-mutated,20,0,1,4,300,0,100,4,330.0,0,100.0,0.9
DaimonBlade-mutated,100,8,4,7,0,1,20,7,0.0,0,20.0,0.86
DaimonBladeLauncher-mutated,250,1,15,4,300,0,100,4,336.0,0,88.0,0.88
DaimonDelta-mutated,30,5,1,4,300,0,100,4,336.0,0,100.0,0.88
DaimonEpsilon-mutated,40,5,1,4,600,0,100,4,522.0,0,113.0,0.87
DaimonEta-mutated,10,9,1,4,150,3,100,4,26.7,0,1.11,0.89
DaimonEtaLaser-mutated,10,9,1,4,150,3,100,4,26.4,0,0.88,0.88
DaimonEtaProjectile-mutated,10,9,1,4,150,3,100,4,30.0,0,1.15,0.85
DaimonGamma-mutated,20,2,1,4,300,0,100,4,336.0,0,112.0,0.88
DaimonKnight-mutated,5,2,1,7,19,0,100,7,19.0,0,85.0,0.85
DaimonLightning-mutated,250,1,3,4,150,0,100,4,150.0,0,100.0,0.86
DaimonLightningLaser-mutated,250,1,3,4,200,0,100,4,222.0,0,100.0,0.89
DaimonLightningSpike-mutated,250,1,3,4,150,0,100,4,166.5,0,111.0,0.89
DaimonMobulaBlade-mutated,100,8,3,7,0,1,50,7,0.0,0,50.0,0.85
DaimonMobulaBolt-mutated,10,0,1,4,50,0,50,4,56.0,0,44.0,0.88
DaimonMobulaLaser-mutated,10,0,2,4,50,0,50,4,44.5,0,44.5,0.89
DaimonMobulaProjectile-mutated,10,1,5,4,50,0,50,4,56.5,0,56.5,0.87
DaimonObstacle-mutated,1,-1,0,-1,0,-1,0,6,222.0,0,111.0,0.89
DaimonObstacleBolt-mutated,5,-1,0,-1,0,-1,0,6,267.0,0,444.0,0.89
DaimonObstacleLaser-mutated,5,-1,0,-1,0,-1,0,6,300.0,0,352.0,0.88
DaimonObstacleMissile-mutated,25,-1,0,-1,0,-1,0,6,1120.0,0,400.0,0.88
DaimonObstacleProjectile-mutated,5,-1,0,-1,0,-1,0,6,342.0,0,344.0,0.86
DaimonObstacleSpike-mutated,5,-1,0,-1,0,-1,0,6,300.0,0,360.0,0.9
DaimonSpike-mutated,5,5,1,7,10,0,100,7,10.0,0,100.0,0.85
DaimonSwarm-mutated,0,6,5,4,50,0,100,4,55.5,0,100.0,0.89
DaimonTrial-mutated,-1,1,1,5,100,0,100,5,90.0,0,90.0,0.9
DaimonTurretBlade-mutated,250,1,5,5,1000,0,100,5,1000.0,0,86.0,0.86
DaimonTurretCompound-mutated,500,2,5,4,175,0,100,4,150.5,0,114.0,0.86
DaimonTurretCompoundLaser-mutated,500,2,7,4,175,0,100,4,175.0,0,87.0,0.87
DaimonTurretLaser-mutated,250,1,1.5,5,1000,0,100,5,1120.0,0,88.0,0.88
DaimonTurretMissile-mutated,250,1,1.5,5,1000,0,100,5,1140.0,0,100.0,0.86
DaimonTurretProjectile-mutated,250,1,1.5,5,1000,0,100,5,1130.0,0,100.0,0.87
DaimonZeta-mutated,50,2,1,7,200,0,100,7,220.0,0,90.0,0.9
DroneAlpha-mutated,250,1,5,4,250,0,100,4,250.0,0,90.0,0.9
DroneAlphaLaser-mutated,250,1,5,4,250,0,100,4,250.0,0,100.0,0.86
DroneAlphaSpike-mutated,250,1,5,4,250,0,100,4,220.0,0,112.0,0.88
DroneBeta-mutated,250,1,15,4,300,0,100,4,345.0,0,100.0,0.85
Frosty-mutated,10,9,1,4,150,3,100,4,34.2,0,30.0,0.86
Ichthyos-mutated,0,6,1,4,150,3,150,4,43.0,0,25.8,0.86
Jack-mutated,10,9,1,4,150,3,100,4,25.8,0,30.0,0.86
Kroma-mutated,10,5,1,7,50,0,100,7,57.0,0,86.0,0.86
KromaChild-mutated,5,5,1,7,50,0,100,7,56.0,0,112.0,0.88
KromaElite-mutated,20,5,1,4,200,0,100,4,200.0,0,114.0,0.86
Larva-mutated,1,5,1,7,50,0,100,7,50.0,0,86.0,0.86
MCCreeper-mutated,20,0,1,4,100,0,100,4,100.0,0,88.0,0.88
MCSkeleton-mutated,20,0,1,4,100,0,100,4,100.0,0,112.0,0.88
Maia-mutated,-1,2,5,-1,0,-1,0,4,261.0,0,87.0,0.87
Marble-mutated,250,1,1.5,5,1000,0,200,5,870.0,0,200.0,0.87
Mars-mutated,1,5,1,7,50,0,100,7,43.5,0,100.0,0.87
Orion-mutated,-1,-1,0,-1,0,-1,0,4,300.0,0,88.0,0.88
Orion-mutated,-1,-1,0,-1,0,-1,0,4,170.0,0,85.0,0.85
Orion-mutated,-1,-1,0,-1,0,-1,0,9,85000.0,0,1150.0,0.85
Orion-mutated,-1,-1,0,-1,0,-1,0,9,85000.0,0,1000.0,0.85
Orion-mutated,-1,-1,0,-1,0,-1,0,9,111000.0,0,1000.0,0.89
Soul-mutated,-1,-1,0,-1,0,-1,0,1,0.0,0,100.0,0.89
Teuthus-mutated,-1,2,5,-1,0,-1,0,4,155.75,0,111.0,0.89
TrailerAlpha-mutated,250,1,5,4,100,0,100,4,90.0,0,90.0,0.9
TrailerBeta-mutated,500,1,5,4,200,0,100,4,200.0,0,114.0,0.86
Vermis-mutated,-1,-1,0,-1,0,-1,0,1,0.0,200,161.5,0.85
Vermis-mutated,-1,-1,0,-1,0,-1,0,1,0.0,200,190.0,0.9
Vermis-mutated,-1,-1,0,-1,0,-1,0,4,200.0,0,169.1,0.89
VermisChild-mutated,-1,-1,0,-1,0,-1,0,8,30.45,0,214.7,0.87
WingAlpha-mutated,2000,1,5,7,100,0,100,7,100.0,0,111.0,0.89
Argos-mutated,-1,2,5,-1,0,-1,0,4,200.0,0,110.0,0.9
Argos-mutated,-1,2,5,-1,0,-1,0,4,100.0,0,56.0,0.88
Argos-mutated,-1,2,5,-1,0,-1,0,4,230.0,0,85.0,0.85
BossNightmare-mutated,-1,-1,0,-1,0,-1,0,4,330.0,0,100.0,0.9
CubicKeeper-mutated,10,1,1,5,100,0,100,5,113.0,0,100.0,0.87
DaimonAlpha-mutated,5,9,1,-1,0,-1,0,3,25.8,0,258.0,0.86
DaimonBeta-mutated,20,0,1,4,300,0,100,4,300.0,0,88.0,0.88
DaimonBlade-mutated,100,8,4,7,0,1,20,7,0.0,0,17.8,0.89
DaimonBladeLauncher-mutated,250,1,15,4,300,0,100,4,267.0,0,100.0,0.89
DaimonDelta-mutated,30,5,1,4,300,0,100,4,255.0,0,100.0,0.85
DaimonEpsilon-mutated,40,5,1,4,600,0,100,4,672.0,0,100.0,0.88
DaimonEta-mutated,10,9,1,4,150,3,100,4,30.0,0,1.1400000000000001,0.86
DaimonEtaLaser-mutated,10,9,1,4,150,3,100,4,25.5,0,0.85,0.85
DaimonEtaProjectile-mutated,10,9,1,4,150,3,100,4,26.7,0,1.11,0.89
DaimonGamma-mutated,20,2,1,4,300,0,100,4,261.0,0,100.0,0.87
DaimonKnight-mutated,5,2,1,7,19,0,100,7,19.0,0,86.0,0.86
DaimonLightning-mutated,250,1,3,4,150,0,100,4,168.0,0,112.0,0.88
DaimonLightningLaser-mutated,250,1,3,4,200,0,100,4,224.0,0,112.0,0.88
DaimonLightningSpike-mutated,250,1,3,4,150,0,100,4,150.0,0,111.0,0.89
DaimonMobulaBlade-mutated,100,8,3,7,0,1,50,7,0.0,0,44.5,0.89
DaimonMobulaBolt-mutated,10,0,1,4,50,0,50,4,56.5,0,56.5,0.87
DaimonMobulaLaser-mutated,10,0,2,4,50,0,50,4,43.0,0,57.0,0.86
DaimonMobulaProjectile-mutated,10,1,5,4,50,0,50,4,42.5,0,50.0,0.85
DaimonObstacle-mutated,1,-1,0,-1,0,-1,0,6,220.0,0,90.0,0.9
DaimonObstacleBolt-mutated,5,-1,0,-1,0,-1,0,6,267.0,0,356.0,0.89
DaimonObstacleLaser-mutated,5,-1,0,-1,0,-1,0,6,300.0,0,344.0,0.86
DaimonObstacleMissile-mutated,25,-1,0,-1,0,-1,0,6,890.0,0,400.0,0.89
DaimonObstacleProjectile-mutated,5,-1,0,-1,0,-1,0,6,261.0,0,348.0,0.87
DaimonObstacleSpike-mutated,5,-1,0,-1,0,-1,0,6,336.0,0,352.0,0.88
DaimonSpike-mutated,5,5,1,7,10,0,100,7,11.5,0,85.0,0.85
DaimonSwarm-mutated,0,6,5,4,50,0,100,4,57.0,0,86.0,0.86
DaimonTrial-mutated,-1,1,1,5,100,0,100,5,100.0,0,100.0,0.86
DaimonTurretBlade-mutated,250,1,5,5,1000,0,100,5,870.0,0,100.0,0.87
DaimonTurretCompound-mutated,500,2,5,4,175,0,100,4,201.25,0,100.0,0.85
DaimonTurretCompoundLaser-mutated,500,2,7,4,175,0,100,4,201.25,0,115.0,0.85
DaimonTurretLaser-mutated,250,1,1.5,5,1000,0,100,5,850.0,0,100.0,0.85
DaimonTurretMissile-mutated,250,1,1.5,5,1000,0,100,5,900.0,0,100.0,0.9
DaimonTurretProjectile-mutated,250,1,1.5,5,1000,0,100,5,860.0,0,86.0,0.86
DaimonZeta-mutated,50,2,1,7,200,0,100,7,180.0,0,100.0,0.9
DroneAlpha-mutated,250,1,5,4,250,0,100,4,250.0,0,112.0,0.88
DroneAlphaLaser-mutated,250,1,5,4,250,0,100,4,250.0,0,114.0,0.86
DroneAlphaSpike-mutated,250,1,5,4,250,0,100,4,280.0,0,100.0,0.88
DroneBeta-mutated,250,1,15,4,300,0,100,4,258.0,0,100.0,0.86
Frosty-mutated,10,9,1,4,150,3,100,4,33.6,0,30.0,0.88
Ichthyos-mutated,0,6,1,4,150,3,150,4,50.0,0,25.5,0.85
Jack-mutated,10,9,1,4,150,3,100,4,26.7,0,33.3,0.89
Kroma-mutated,10,5,1,7,50,0,100,7,50.0,0,86.0,0.86
KromaChild-mutated,5,5,1,7,50,0,100,7,57.5,0,85.0,0.85
KromaElite-mutated,20,5,1,4,200,0,100,4,200.0,0,110.0,0.9
